x,y
3,432.5
4,429.5
5,432.0
6,433.6666666666667
7,434.0
8,436.5
9,435.0
10,436.5
11,437.5
12,437.5
13,436.5
14,435.0
15,432.5
16,435.5
17,434.5
18,435.0
19,433.0
20,433.0
21,434.5
22,434.0
23,435.5
24,434.0
25,433.5
26,433.3333333333333
27,431.5
28,430.6
29,429.3333333333333
30,428.25
31,426.6666666666667
32,425.6666666666667
33,426.5
34,425.5
35,424.0
36,425.5
37,426.5
38,425.0
39,426.0
40,426.6666666666667
41,427.0
42,428.5
43,428.0
44,428.0
45,429.0
46,429.6666666666667
47,430.6666666666667
48,431.6666666666667
49,432.0
50,432.5
51,433.6666666666667
52,435.5
53,434.0
54,434.0
55,434.0
56,435.5
57,433.0
58,434.5
59,432.0
60,432.0
61,433.5
62,433.5
63,432.6666666666667
64,433.6666666666667
65,434.6666666666667
66,435.6666666666667
67,436.6666666666667
68,437.6666666666667
69,438.6666666666667
70,439.0
71,440.5
72,441.5
73,441.5
74,440.5
75,439.0
76,438.6666666666667
77,438.0
78,437.6666666666667
79,436.6666666666667
80,435.6666666666667
81,436.5
82,434.0
83,433.6666666666667
84,433.0
85,433.0
86,434.5
87,434.6666666666667
88,435.0
89,437.5
90,436.0
91,438.5
92,438.5
93,436.0
94,435.5
95,434.5
96,433.0
97,432.3333333333333
98,430.5
99,429.6
100,428.3333333333333
101,427.6666666666667
102,426.6666666666667
103,427.5
104,426.5
105,426.5
106,426.5
107,427.5
108,426.6666666666667
109,427.6666666666667
110,428.6666666666667
111,429.0
112,430.6
113,432.3333333333333
114,433.3333333333333
115,434.0
116,435.5
117,436.6666666666667
118,437.0
119,438.5
120,437.0
121,438.5
122,437.5
123,437.5
124,437.5
125,437.5
126,437.5
127,437.5
128,437.5
129,437.5
130,437.5
131,437.5
132,438.5
133,437.6666666666667
134,438.6666666666667
135,439.6666666666667
136,440.6666666666667
137,441.6666666666667
138,442.0
139,443.0
140,443.6666666666667
141,444.0
142,444.0
143,444.0
144,444.5
145,443.0
146,442.6666666666667
147,443.5
148,441.0
149,441.5
150,441.5
151,441.5
152,442.5
153,441.0
154,443.5
155,443.5
156,441.6666666666667
157,440.5
158,439.0
159,438.0
160,437.3333333333333
161,438.0
162,435.6666666666667
163,436.5
164,436.5
165,436.5
166,436.5
167,436.0
168,437.5
169,437.6666666666667
170,438.0
171,439.0
172,439.5
173,440.6666666666667
174,441.6666666666667
175,443.3333333333333
176,444.3333333333333
177,445.3333333333333
178,446.3333333333333
179,446.5
180,447.6666666666667
181,448.0
182,450.5
183,450.5
184,450.5
185,448.0
186,447.0
187,445.4
188,443.0
189,442.0
190,441.5
191,438.5
192,437.0
193,436.0
194,432.6
195,431.5
196,427.5
197,426.6
198,424.5
199,422.5
200,420.8
201,418.4
202,416.5
203,415.0
204,413.0
205,411.0
206,408.5
207,406.25
208,404.6666666666667
209,403.6666666666667
210,402.6666666666667
211,401.5
212,401.0
213,400.6666666666667
214,399.6666666666667
215,399.0
216,399.5
217,398.0
218,398.0
219,399.5
220,397.0
221,397.0
222,396.0
223,395.3333333333333
224,393.5
225,393.0
226,392.0
227,390.0
228,388.0
229,386.0
230,384.6
231,383.0
232,381.0
233,378.6
234,378.0
235,375.6
236,375.0
237,373.0
238,371.75
239,368.0
240,366.2
241,365.4
242,363.4
243,361.4
244,358.75
245,358.0
246,356.0
247,353.25
248,351.6666666666667
249,352.5
250,350.0
251,350.0
252,350.0
253,350.0
254,350.0
255,351.5
256,349.0
257,350.5
258,348.0
259,349.5
260,349.5
261,348.0
262,348.0
263,350.5
264,349.0
265,349.0
266,349.0
267,348.6666666666667
268,347.5
269,346.5
270,345.5
271,347.0
272,344.6666666666667
273,343.6666666666667
274,342.6666666666667
275,342.0
276,341.6666666666667
277,342.5
278,340.0
279,339.6666666666667
280,338.5
281,337.5
282,336.5
283,335.6666666666667
284,334.6666666666667
285,333.6666666666667
286,332.6666666666667
287,333.5
288,332.5
289,332.5
290,333.5
291,332.0
292,333.5
293,333.0
294,335.5
295,334.0
296,336.5
297,336.5
298,336.5
299,334.0
300,333.5
301,332.5
302,331.5
303,330.5
304,330.3333333333333
305,328.6666666666667
306,327.6666666666667
307,326.6666666666667
308,325.6666666666667
309,325.0
310,325.5
311,325.5
